device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:43:8A,2017-03-15 07:00:36.910000128,97.59,97.56,97.57,97.59,97.63,39.21
88:4A:EA:69:42:9B,2017-03-15 07:00:37.120000000,94.18,94.25,94.3,94.24,93.93,46.45
88:4A:EA:69:43:8A,2017-03-15 07:00:37.430000128,97.61,97.63,97.58,97.59,97.65,35.97
88:4A:EA:69:42:9B,2017-03-15 07:00:37.649999872,94.34,94.48,94.12,94.38,94.39,46.84
88:4A:EA:69:E1:72,2017-03-15 07:00:37.689999872,913.33,7.83,4.54,2.07,51.82,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:37.950000128,97.63,97.59,97.66,97.7,97.57,39.55
88:4A:EA:69:42:9B,2017-03-15 07:00:38.169999872,94.27,94.31,94.37,94.15,94.25,48.5
88:4A:EA:69:43:8A,2017-03-15 07:00:38.470000128,97.6,97.63,97.64,97.59,97.55,39.54
88:4A:EA:69:42:9B,2017-03-15 07:00:38.689999872,94.35,94.31,94.27,94.38,94.42,51.53
88:4A:EA:69:E1:72,2017-03-15 07:00:38.720000000,919.5,7.91,4.47,2.15,51.82,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:39.000000000,97.64,97.62,97.63,97.59,97.71,39.46
88:4A:EA:69:42:9B,2017-03-15 07:00:39.209999872,94.32,94.43,94.26,94.35,94.22,49.22
88:4A:EA:69:43:8A,2017-03-15 07:00:39.520000000,97.66,97.57,97.69,97.69,97.67,40.13
88:4A:EA:69:42:9B,2017-03-15 07:00:39.740000000,94.27,94.16,94.29,94.23,94.41,48.59
88:4A:EA:69:E1:72,2017-03-15 07:00:39.750000128,935.23,7.71,4.41,2.06,51.82,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:40.040000000,97.69,97.61,97.7,97.69,97.74,39.3
88:4A:EA:69:42:9B,2017-03-15 07:00:40.260000000,94.21,94.05,94.24,94.27,94.3,47.2
88:4A:EA:69:43:8A,2017-03-15 07:00:40.569999872,97.63,97.52,97.61,97.67,97.7,39.25
88:4A:EA:69:42:9B,2017-03-15 07:00:40.780000000,94.22,94.39,94.08,94.21,94.2,47.67
88:4A:EA:69:E1:72,2017-03-15 07:00:40.800000000,935.55,7.95,4.37,2.11,51.82,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:41.089999872,97.54,97.6,97.44,97.52,97.6,34.75
88:4A:EA:69:42:9B,2017-03-15 07:00:41.300000000,94.34,94.33,94.57,94.24,94.22,49.73
88:4A:EA:69:43:8A,2017-03-15 07:00:41.609999872,97.6,97.54,97.62,97.58,97.68,34.14
88:4A:EA:69:42:9B,2017-03-15 07:00:41.830000128,94.25,94.2,94.16,94.48,94.17,48.0
88:4A:EA:69:E1:72,2017-03-15 07:00:41.860000000,954.24,7.88,4.49,2.08,51.82,208.0
88:4A:EA:69:43:8A,2017-03-15 07:00:42.129999872,97.56,97.48,97.54,97.6,97.63,34.55
88:4A:EA:69:42:9B,2017-03-15 07:00:42.350000128,94.35,94.31,94.34,94.26,94.48,45.76
88:4A:EA:69:43:8A,2017-03-15 07:00:42.660000000,97.54,97.55,97.6,97.54,97.48,37.28
88:4A:EA:69:42:9B,2017-03-15 07:00:42.870000128,94.24,94.14,94.39,94.21,94.22,46.11
88:4A:EA:69:E1:72,2017-03-15 07:00:42.900000000,882.42,7.8,4.42,2.09,51.82,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:43.180000000,97.64,97.58,97.6,97.68,97.68,33.43
88:4A:EA:69:42:9B,2017-03-15 07:00:43.390000128,94.28,94.26,94.15,94.35,94.34,47.95
88:4A:EA:69:43:8A,2017-03-15 07:00:43.700000000,97.6,97.57,97.64,97.68,97.51,33.7
88:4A:EA:69:42:9B,2017-03-15 07:00:43.920000000,94.26,94.21,94.34,94.21,94.28,48.96
88:4A:EA:69:E1:72,2017-03-15 07:00:43.950000128,955.71,7.98,4.41,2.07,51.83,211.0
88:4A:EA:69:43:8A,2017-03-15 07:00:44.220000000,97.62,97.58,97.67,97.56,97.65,34.3
88:4A:EA:69:42:9B,2017-03-15 07:00:44.440000000,94.21,94.14,94.14,94.4,94.17,49.4
88:4A:EA:69:43:8A,2017-03-15 07:00:44.750000128,97.65,97.56,97.66,97.7,97.69,33.99
88:4A:EA:69:42:9B,2017-03-15 07:00:44.960000000,94.35,94.33,94.39,94.32,94.35,54.66
88:4A:EA:69:E1:72,2017-03-15 07:00:45.009999872,946.91,7.86,4.34,2.05,51.83,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:45.270000128,97.6,97.63,97.58,97.65,97.56,35.44
88:4A:EA:69:42:9B,2017-03-15 07:00:45.489999872,94.22,94.19,94.3,94.34,94.04,48.95
88:4A:EA:69:43:8A,2017-03-15 07:00:45.790000128,97.53,97.49,97.57,97.52,97.55,36.94
88:4A:EA:69:42:9B,2017-03-15 07:00:46.009999872,94.31,94.33,94.23,94.33,94.33,47.47
88:4A:EA:69:E1:72,2017-03-15 07:00:46.060000000,1035.1,7.98,4.42,2.02,51.83,210.0
88:4A:EA:69:43:8A,2017-03-15 07:00:46.310000128,97.57,97.57,97.56,97.62,97.55,34.38
88:4A:EA:69:42:9B,2017-03-15 07:00:46.529999872,94.29,94.22,94.36,94.21,94.36,46.67
